authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E08000033,Calderdale,3,West Yorkshire,Yorkshire and The Humber,2022,1.9914392253333724,9,34.35146123751941,True,25
E08000034,Kirklees,3,West Yorkshire,Yorkshire and The Humber,2014,3.928350507038198,9,35.21021092924436,False,23
E08000034,Kirklees,3,West Yorkshire,Yorkshire and The Humber,2015,3.8754601970092315,10,65.38338674093818,False,23
E08000034,Kirklees,3,West Yorkshire,Yorkshire and The Humber,2016,3.83245331453687,7,36.442031406615435,False,23
E08000034,Kirklees,3,West Yorkshire,Yorkshire and The Humber,2018,3.2017712177136985,11,35.11940026432119,False,23
E08000034,Kirklees,3,West Yorkshire,Yorkshire and The Humber,2022,2.013390698432189,10,34.01088033083231,True,34
E08000035,Leeds,3,West Yorkshire,Yorkshire and The Humber,2014,4.154796845211334,10,34.909887687722346,False,33
E08000035,Leeds,3,West Yorkshire,Yorkshire and The Humber,2015,3.769727836104434,11,66.85389887960643,False,33
E08000035,Leeds,3,West Yorkshire,Yorkshire and The Humber,2016,3.7099933223797623,10,34.98310260432058,False,33
E08000035,Leeds,3,West Yorkshire,Yorkshire and The Humber,2018,3.2336355129433927,17,13.760495315441066,False,33
E08000035,Leeds,3,West Yorkshire,Yorkshire and The Humber,2022,2.217163134289456,14,32.16274562422096,True,60
E08000036,Wakefield,3,West Yorkshire,Yorkshire and The Humber,2014,3.073350328353478,7,29.855339493549245,False,21
E08000036,Wakefield,3,West Yorkshire,Yorkshire and The Humber,2015,2.908621726930361,8,57.704240732637125,False,21
E08000036,Wakefield,3,West Yorkshire,Yorkshire and The Humber,2016,2.806655556975988,8,30.357562683803057,False,21
E08000036,Wakefield,3,West Yorkshire,Yorkshire and The Humber,2018,2.5752085728460457,9,26.996810793507773,False,21
E08000036,Wakefield,3,West Yorkshire,Yorkshire and The Humber,2022,2.567455019835637,8,31.771477660380278,True,33
E08000037,Gateshead,1,Metropolitan Borough,North East,2014,3.0774867536479253,9,35.43251989853932,False,22
E08000037,Gateshead,1,Metropolitan Borough,North East,2015,3.031165915929248,8,63.581756101673484,False,22
E08000037,Gateshead,1,Metropolitan Borough,North East,2016,2.9679973355068974,7,35.43290528794931,False,22
E08000037,Gateshead,1,Metropolitan Borough,North East,2018,2.640563780753732,10,32.36208660075008,False,22
E08000037,Gateshead,1,Metropolitan Borough,North East,2022,1.8947489284015813,9,32.74755174769491,True,32
E09000002,Barking and Dagenham,2,London Borough,London,2014,1.9520308523195982,10,14.3458703439137,False,17
E09000002,Barking and Dagenham,2,London Borough,London,2018,1.5688016953944226,5,9.873655832855519,False,17
E09000002,Barking and Dagenham,2,London Borough,London,2022,1.9699609189425675,8,23.62906285128771,True,38
E09000003,Barnet,2,London Borough,London,2014,2.896918403606769,7,14.044749252825154,False,21
E09000003,Barnet,2,London Borough,London,2015,2.102798078120569,5,71.7193308550186,False,1
E09000003,Barnet,2,London Borough,London,2016,3.178115618764165,5,50.428429692432566,False,1
E09000003,Barnet,2,London Borough,London,2018,2.5378348651141276,8,14.621416335369599,False,21
E09000003,Barnet,2,London Borough,London,2022,2.1660879706759912,9,27.746167107588366,True,75
E09000004,Bexley,2,London Borough,London,2014,2.8719317523939125,9,14.823873662579016,False,21
E09000004,Bexley,2,London Borough,London,2018,2.251663470599668,9,18.00586073308831,False,17
E09000004,Bexley,2,London Borough,London,2022,1.935637647889422,9,26.67029514295226,True,47
E09000005,Brent,2,London Borough,London,2014,2.7183663026132714,8,13.041862330071634,False,21
E09000005,Brent,2,London Borough,London,2016,2.528174185075781,6,44.09665019220208,False,1
E09000005,Brent,2,London Borough,London,2018,2.252482408561529,8,12.374558566596036,False,21
E09000005,Brent,2,London Borough,London,2022,1.9399735674487284,7,25.275452484845808,True,74
E09000006,Bromley,2,London Borough,London,2014,3.1260772714806304,8,17.35502623892793,False,22
E09000006,Bromley,2,London Borough,London,2018,2.8629614394103826,9,16.108374725495494,False,22
E09000006,Bromley,2,London Borough,London,2022,2.414996183216698,10,27.775798653550734,True,69
E09000007,Camden,2,London Borough,London,2014,3.27124335239437,7,13.38431794138916,False,18
E09000007,Camden,2,London Borough,London,2015,2.847634224012089,5,70.58744993324433,False,1
E09000007,Camden,2,London Borough,London,2018,2.952804877857839,7,13.05750865778151,False,18
E09000007,Camden,2,London Borough,London,2022,1.9224989303875413,11,29.073034049761837,True,67
E09000008,Croydon,2,London Borough,London,2014,3.2208912163686487,10,13.986318121581446,False,24
