scenario_id,authority_code,metric,event_type,detail
S3,E09000029,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000029,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000030,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000030,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000030,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000030,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000030,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000030,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000031,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000031,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000031,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000031,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000031,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000031,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000032,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000032,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000032,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000032,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000032,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000032,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000033,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000033,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000033,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000033,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000033,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000033,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
