scenario_id,authority_code,authority_name,tier,election_active_2026,metric,P10,P50,P90,notes,point_estimate
S2,E08000006,Salford,1,True,volatility_score,-12.972074485207344,-2.5833914852073443,17.812061514792653,,1.5215109814593226
S3,E08000006,Salford,1,True,delta_fi,-1.1904564001431726,-0.058327400143172614,0.7477182998568376,,-0.13990513347650602
S3,E08000006,Salford,1,True,swing_concentration,1.9543523333333344,3.4167603333333343,4.783925333333334,,3.500000000000001
S3,E08000006,Salford,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,6.440913333333334,,0.0
S3,E08000006,Salford,1,True,volatility_score,-9.813417033404924,1.156576966595078,20.220597966595076,,3.9300474332617457
S4,E08000006,Salford,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,copied_from_s0,0.0
S4,E08000006,Salford,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000006,Salford,1,True,turnout_delta,-7.888086666666666,2.6033133333333343,9.440913333333334,,3.0
S4,E08000006,Salford,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,17.483210533333335,copied_from_s0,0.0
S5,E08000006,Salford,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,copied_from_s0,0.0
S5,E08000006,Salford,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000006,Salford,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,copied_from_s0,0.0
S5,E08000006,Salford,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,17.483210533333335,copied_from_s0,0.0
S0,E08000007,Stockport,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,,0.0
S0,E08000007,Stockport,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000007,Stockport,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,,0.0
S0,E08000007,Stockport,1,True,volatility_score,-13.74346446666667,-4.104902466666667,16.29055053333333,,0.0
